Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
203,18,2000,0.9,75,30000,17,0.8,1.5,0.8,-1.2476205571,-0.5965358012,1.4485515309,1.1110844888
204,26,2000,0.9,75,30000,17,0.8,1.5,0.8,-1.4953967952,-0.9535545939,2.5074798369,1.4537554041
205,0,2000,0.9,75,37000,17,0.8,1.5,0.8,0.0922783435,0.0671547064,0.0922783435,0.0671547064
206,10,2000,0.9,75,37000,17,0.8,1.5,0.8,-0.695671861,-0.230038605,0.8916908827,0.750659233
207,18,2000,0.9,75,37000,17,0.8,1.5,0.8,-1.2208837098,-0.6035661967,1.6299507498,1.061966443
208,26,2000,0.9,75,37000,17,0.8,1.5,0.8,-1.4761927845,-0.9575866742,2.6148395318,1.418612311
209,0,2000,1.1,25,30000,17,0.8,1.5,0.8,0.0429364623,0.028773563,0.0429364623,0.028773563
210,10,2000,1.1,25,30000,17,0.8,1.5,0.8,-0.5712171855,-0.2348436947,1.0611477025,0.6682212854
211,18,2000,1.1,25,30000,17,0.8,1.5,0.8,-1.2302083012,-0.5982916171,1.7659548567,1.0459521736
212,26,2000,1.1,25,30000,17,0.8,1.5,0.8,-1.5918610321,-0.9492921301,2.7105091853,1.4289662226
213,0,2000,1.1,25,37000,17,0.8,1.5,0.8,0.042990169,0.0288137376,0.042990169,0.0288137376
214,10,2000,1.1,25,37000,17,0.8,1.5,0.8,-0.5676746873,-0.2342454151,1.0462358669,0.6714299723
215,18,2000,1.1,25,37000,17,0.8,1.5,0.8,-1.2193827528,-0.5984653239,1.7861077855,1.043125244
216,26,2000,1.1,25,37000,17,0.8,1.5,0.8,-1.5879347297,-0.9567805069,2.7263479193,1.4232283463
217,0,2000,1.1,75,30000,17,0.8,1.5,0.8,0.0402494616,0.0268151434,0.0402494616,0.0268151434
218,10,2000,1.1,75,30000,17,0.8,1.5,0.8,-0.6124982811,-0.2386848499,0.9862761147,0.6493261708
219,18,2000,1.1,75,30000,17,0.8,1.5,0.8,-1.2770280596,-0.5959683671,1.6264459982,1.01961136
220,26,2000,1.1,75,30000,17,0.8,1.5,0.8,-1.5423467157,-0.9514722263,2.5626126133,1.3840855327
221,0,2000,1.1,75,37000,17,0.8,1.5,0.8,0.0403102633,0.0268607291,0.0403102633,0.0268607291
222,10,2000,1.1,75,37000,17,0.8,1.5,0.8,-0.6107398044,-0.2382963002,0.9875021232,0.6499912909
223,18,2000,1.1,75,37000,17,0.8,1.5,0.8,-1.2744687699,-0.5957464363,1.6348291962,1.0195840714
224,26,2000,1.1,75,37000,17,0.8,1.5,0.8,-1.5423433866,-0.9525770296,2.5714271432,1.3837490876
225,0,5000,0.9,25,30000,17,0.8,1.5,0.8,0.0899051225,0.064756202,0.0899051225,0.064756202
226,10,5000,0.9,25,30000,17,0.8,1.5,0.8,-1.2984591767,-0.6770592443,2.9153197341,1.6381720305
227,18,5000,0.9,25,30000,17,0.8,1.5,0.8,-2.2508620589,-1.5689330834,5.547310024,2.5798347571
228,26,5000,0.9,25,30000,17,0.8,1.5,0.8,-3.7002089982,-2.4622167724,7.7163937165,3.5320666012
229,0,5000,0.9,25,37000,17,0.8,1.5,0.8,0.089722412,0.0646157283,0.089722412,0.0646157283
230,10,5000,0.9,25,37000,17,0.8,1.5,0.8,-1.3041896943,-0.6711151877,2.9614923939,1.6709087221
231,18,5000,0.9,25,37000,17,0.8,1.5,0.8,-2.249734059,-1.565889302,5.568622717,2.5984138676
232,26,5000,0.9,25,37000,17,0.8,1.5,0.8,-3.6949164375,-2.46008362,7.7451254861,3.5461247799
233,0,5000,0.9,75,30000,17,0.8,1.5,0.8,0.0920712582,0.0670577408,0.0920712582,0.0670577408
234,10,5000,0.9,75,30000,17,0.8,1.5,0.8,-1.3359954236,-0.7009596315,2.834768071,1.5443877831
235,18,5000,0.9,75,30000,17,0.8,1.5,0.8,-2.034191923,-1.5977004961,5.9591725735,2.4659681508
236,26,5000,0.9,75,30000,17,0.8,1.5,0.8,-2.9227824573,-2.4986545467,9.4084445102,3.3800747375
237,0,5000,0.9,75,37000,17,0.8,1.5,0.8,0.0922783435,0.0671547064,0.0922783435,0.0671547064
